cnpj,razao_social,nome_fantasia,logradouro,numero,complemento,bairro,cidade,uf,telefone,email,latitude,longitude,endereco_completo
624104000177,FIGUEIRA E MANTILLA LTDA,CENTRO DE DIAGNOSTICO POR IMAGEM,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR 689 - PREDIO CEDIAC,BOSQUE,RIO BRANCO,AC,"6833020260, 6833020261, 6833020261, 6833020263, 6833020260, 6833020261","cediac_acre@yahoo.com.br, convenio@cediacimagem.com.br",-9.963139,-67.81588,"RUA HUGO CARNEIRO - ATÉ 1199/1200, BOSQUE, RIO BRANCO, AC, Brasil"
1187238635,JAIRO ENRIQUE LANDAZURI PALACIOS,JAIRO ENRIQUE LANDAZURI PALACIOS,AV. GETULIO VARGAS,,NR 828,CENTRO,CRUZEIRO DO SUL,AC,"6833224135, 6833226166","neide11brasil@gmail.com, neide11brasil@gmail.com",-7.618754,-72.68687,"AV. GETULIO VARGAS, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
1630624000155,SUSY PASCOAL NOGUEIRA,CEMAP-CENTRO DE MAMOGRAFIA E ULTRA-SONOGRAFIA AMOTY PAS,TRAVESSA ALEXANDRE LOPES ,,NR 230,JOSÉ AUGUSTO,RIO BRANCO,AC,"6832237033, 6832233512","cemap1@hotmail.com, cemap1@hotmail.com",-9.966122,-67.8116,"TRAVESSA ALEXANDRE LOPES , JOSÉ AUGUSTO, RIO BRANCO, AC, Brasil"
1983802000121,"BIONORTE - CENTRO DE DIAGNOSTICO, ANALISES E PESQUISAS CLINICAS LTDA",LABORATORIO BIONORTE,RUA ALVORADA - ATÉ 399/400,,NR 125,BOSQUE,RIO BRANCO,AC,6833020150,"soriano@laboratoriobionorte.com.br, soriano@laboratoriobionorte.com.br",-9.961716,-67.81281,"RUA ALVORADA - ATÉ 399/400, BOSQUE, RIO BRANCO, AC, Brasil"
2093141000121,SIQUEIRA E SIQUEIRA LTDA,CAL - CLINICA ANDRE LUIZ,TRAVESSA FRANCISCO CONDE ,,NR 112,BOSQUE,RIO BRANCO,AC,"6832241763, 68992820694",,-9.961309,-67.80993,"TRAVESSA FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
2242448000147,VIDEO GYN CENTRO DIAGNOSTICO LTDA,VIDEO GYN CENTRO,TRAVESSA FRANCISCO CONDE ,,NR 112 - SALA 310,BOSQUE,RIO BRANCO,AC,6832235677,"videogyn3@gmail.com, videogyn3@gmail.com",-9.972364,-67.84186,"TRAVESSA FRANCISCO CONDE , BOSQUE, RIO BRANCO, AC, Brasil"
3108592000158,CENTRO ESPECIALIZADO EM REABILITACAO LTDA.,CER - CENTRO ESPECIALIZADO EM REABILITACAO,RUA GUIOMARD SANTOS ,,NR 310 (CLINICA CER),BOSQUE,RIO BRANCO,AC,"6899247-5996, 6832236042, 6832246152","geison_acre@hotmail.com, clinicaceracre@hotmail.com",-9.972034,-67.82652,"RUA GUIOMARD SANTOS , BOSQUE, RIO BRANCO, AC, Brasil"
3258253000158,JUDITH WEIRICH,CLINICA DE MEDICINA - TROPICAL DO ACRE,RUA CASTRO ALVES - DE 253/254 AO FIM,,NR 370,BOSQUE,RIO BRANCO,AC,"6832238311, 6832235276",,-9.960649,-67.82009,"RUA CASTRO ALVES - DE 253/254 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
4128484000100,CLINICA SANTA LUCIA LTDA,CLINICA SANTA LUCIA,AVENIDA GETÚLIO VARGAS - DE 1523 A 2091 - LADO ÍMPAR,,NR. 1919 - EM FRENTE A PRONTOCLINICA,BOSQUE,RIO BRANCO,AC,6832244985,"cbeyruth@uol.com.br, cbeyruth@uol.com.br",-9.979389,-67.8302,"AVENIDA GETÚLIO VARGAS - DE 1523 A 2091 - LADO ÍMPAR, BOSQUE, RIO BRANCO, AC, Brasil"
4371038000121,E. CEZAR F. DE ABREU,GINODONTO,RUA FÁTIMA MAIA ,,NR 280 - GALERIA CENTER VILLE OFFICE,JARDIM DE ALAH,RIO BRANCO,AC,"6830155585, 6899282-5763","emiliodeabreu@hotmail.com, emiliodeabreu@hotmail.com",-9.979126066,-67.8434058,"RUA FÁTIMA MAIA , JARDIM DE ALAH, RIO BRANCO, AC, Brasil"
4584010000172,M E R SERVIÇOS MÉDICOS CIRÚRGICOS LTDA,VÍDEO LAPAROSCÓPICA LTDA,RUA MILTON MATOS ,,NR 328,BOSQUE,RIO BRANCO,AC,"68999385551, 6821027728","maxwebermiranda@gmail.com, maxwebermiranda@gmail.com",,,"RUA MILTON MATOS , BOSQUE, RIO BRANCO, AC, Brasil"
4598934000128,L. A. BATISTA ANALISES CLINICAS - EIRELI,LABORATORIO DE ANALISES CLINICAS - DR. LUIZ AUGUSTO BAT,AVENIDA GETÚLIO VARGAS - DE 1524 A 2090 - LADO PAR,,N 2074 PROXIMO A PRONTOCLINICA,BOSQUE,RIO BRANCO,AC,"68981112702, 6832242102","lab_labinho@hotmail.com, lab_labinho@hotmail.com",-9.961444,-67.81533,"AVENIDA GETÚLIO VARGAS - DE 1524 A 2090 - LADO PAR, BOSQUE, RIO BRANCO, AC, Brasil"
4665002000150,LUIZ AUGUSTO N O BATISTA - EIRELI,LABSUL - DIAGNOSTICOS CLINICO - LABORATORIAIS,"AV 15 DE NOVEMBRO,",,384,CENTRO,CRUZEIRO DO SUL,AC,6833225298,"contato@labsul.com.br, financeiro@labsul.com.br",-7.634941,-72.674192,"AV 15 DE NOVEMBRO,, CENTRO, CRUZEIRO DO SUL, AC, Brasil"
5280605204,DUCIGELDA CASAS SOUZA,DUCIGELDA CASAS SOUZA,RUA GOUDWASSER SANTOS ,,NR 61 - GALERIA CASTRO,BOSQUE,RIO BRANCO,AC,6832242827,"dcasas@uol.com.br, dcasas@uol.com.br",-9.960207,-67.81512,"RUA GOUDWASSER SANTOS , BOSQUE, RIO BRANCO, AC, Brasil"
5881142000129,T. S. MOURA S/C LTDA,ANGIO-CLINIC SAO JUDAS TADEU,RUA SÃO JANUÁRIO ,,NR. 33 - ANTIGA RUA FARROPILHA,BOSQUE,RIO BRANCO,AC,"6832244283, 68999204242","tsmoura@uol.com.br, magdamm@uol.com.br",-9.960126,-67.81652,"RUA SÃO JANUÁRIO , BOSQUE, RIO BRANCO, AC, Brasil"
7510864000100,ALEX RODRIGUES CAVALCANTE - EIRELI,CLINICA ESPACO VITAL,RUA MILTON MATOS ,,NR. 770,BOSQUE,RIO BRANCO,AC,"6832244631, 6898405-4440","adm@clinicaespacovital.com, adm@clinicaespacovital.com",-9.96139,-67.816,"RUA MILTON MATOS , BOSQUE, RIO BRANCO, AC, Brasil"
8145392000199,HOA - HOSPITAL OFTALMOLOGICO DO ACRE LTDA,H.O.A - HOSPITAL OFTALMOLOGICO DO ACRE,AVENIDA CEARÁ - DE 957 A 1857 - LADO ÍMPAR,,NR 1755,CENTRO,RIO BRANCO,AC,"68984248282, 6832242161",,-9.971441,-67.80796,"AVENIDA CEARÁ - DE 957 A 1857 - LADO ÍMPAR, CENTRO, RIO BRANCO, AC, Brasil"
8702695000165,LABATE ROCHA SOCIEDADE SIMPLES LTDA,TRAUMATO  ORTOPEDIA RIO BRANCO,RUA ANTUNES DE ALENCAR ,,NR. 45 ANDAR 01 SALA 03 - ALTOS DO HOSPITAL DO RIM,BOSQUE,RIO BRANCO,AC,"6899163539, 68999010684","caecle@hotmail.com, caecle@hotmail.com",-9.965602,-67.81733,"RUA ANTUNES DE ALENCAR , BOSQUE, RIO BRANCO, AC, Brasil"
8765732000184,CLINICA CARDIOLOGICA ABIDO BUSSADE LTDA,CLINICA CARDIOLOGICA ABIDO BUSSADE,RUA ALVORADA - DE 401/402 AO FIM,,NR 651,BOSQUE,RIO BRANCO,AC,6832241920,,-9.957631,-67.81469,"RUA ALVORADA - DE 401/402 AO FIM, BOSQUE, RIO BRANCO, AC, Brasil"
8886919000136,INCA - INSTITUTO DE CARDIOLOGIA DO ACRE LTDA,INCA - INSTITUTO DE CARDIOLOGIA DO ACRE,RUA GOUDWASSER SANTOS ,,NR. 61 - GALERIA CASTRO,BOSQUE,RIO BRANCO,AC,"6832240520, 68999577319","incaacre61@gmail.com, incaacre61@gmail.com",-9.960207,-67.81512,"RUA GOUDWASSER SANTOS , BOSQUE, RIO BRANCO, AC, Brasil"
9663726000189,CLINICA RENAL DE RIO BRANCO SERVIÇOS MEDICOS LTDA,CLINICA RENAL DE RIO BRANCO,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - DE 35,,NR 3864,CONJUNTO TUCUMÃ,RIO BRANCO,AC,"68992024079, 6833017243",,-9.947893,-67.867729,"RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - DE 35, CONJUNTO TUCUMÃ, RIO BRANCO, AC, Brasil"
