cnpj,razao_social,nome_fantasia,logradouro,numero,complemento,bairro,cidade,uf,dados_cbo
624104000177,FIGUEIRA E MANTILLA LTDA,CENTRO DE DIAGNOSTICO POR IMAGEM,RUA HUGO CARNEIRO - ATÉ 1199/1200,,NR. 686,BOSQUE,RIO BRANCO,AC,"{""225260"": {""profissao"": ""Médico"", ""especialidades"": [""neurocirurgião""]}, ""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}}"
1187238635,JAIRO ENRIQUE LANDAZURI PALACIOS,JAIRO ENRIQUE LANDAZURI PALACIOS,AVENIDA GETULIO VARGAS,,828,CENTRO,CRUZEIRO DO SUL,AC,"{""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
1630624000155,SUSY PASCOAL NOGUEIRA,CEMAP-CENTRO DE MAMOGRAFIA E ULTRA-SONOGRAFIA AMOTY PAS,RUA SILVESTRE COELHO - DE 379/380 A 613/,,NR. 434,JOSÉ AUGUSTO,RIO BRANCO,AC,"{""225250"": {""profissao"": ""Médico"", ""especialidades"": [""ginecologista e obstetra""]}, ""225255"": {""profissao"": ""Médico"", ""especialidades"": [""mastologista""]}}"
1983802000121,"BIONORTE - CENTRO DE DIAGNOSTICO, ANALISES E PESQUISAS CLINICAS LTDA",LABORATORIO BIONORTE,RUA ALVORADA - ATÉ 399/400,,NR 125,BOSQUE,RIO BRANCO,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
2093141000121,SIQUEIRA E SIQUEIRA LTDA,CAL - CLINICA ANDRE LUIZ,AVENIDA CEARÁ - DE 957 A 1857 - LADO ÍMP,,NR 1190,CENTRO,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225320"": {""profissao"": ""Médico"", ""especialidades"": [""radiologia e diagnóstico por imagem""]}}"
2242448000147,VIDEO GYN CENTRO DIAGNOSTICO LTDA,VIDEO GYN CENTRO,RUA                                     ,,ANEXO SANTA INES CLINICA MEDICA,BOSQUE              ,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
3108592000158,CENTRO ESPECIALIZADO EM REABILITACAO LTDA.,CER - CENTRO ESPECIALIZADO EM REABILITACAO,RUA GUIOMARD SANTOS,,NR 310,BOSQUE,RIO BRANCO,AC,"{""223208"": {""profissao"": ""Cirurgião"", ""especialidades"": [""dentista - clínico geral""]}, ""223710"": {""profissao"": ""Nutricionista"", ""especialidades"": []}, ""223810"": {""profissao"": ""Fonoaudiólogo"", ""especialidades"": [""geral""]}, ""223905"": {""profissao"": ""Terapeuta"", ""especialidades"": [""ocupacional""]}, ""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}, ""225310"": {""profissao"": ""Médico"", ""especialidades"": [""endoscopia""]}, ""251510"": {""profissao"": ""Psicólogo"", ""especialidades"": [""clínico""]}}"
3258253000158,JUDITH WEIRICH,CLINICA DE MEDICINA - TROPICAL DO ACRE,RUA CASTRO ALVES - DE 253/254 AO FIM,,NR 380,BOSQUE,RIO BRANCO,AC,"{""225103"": {""profissao"": ""Médico"", ""especialidades"": [""infectologista""]}}"
4128484000100,CLINICA SANTA LUCIA LTDA,CLINICA SANTA LUCIA,GETULIO VARGAS                          ,,"AV, NR. 1919 - PROX. A PRONTOCLINIC",BOSQUE              ,RIO BRANCO,AC,"{""225110"": {""profissao"": ""Médico"", ""especialidades"": [""alergista e imunologista""]}, ""225275"": {""profissao"": ""Médico"", ""especialidades"": [""otorrinolaringologista""]}}"
4371038000121,E. CEZAR F. DE ABREU,GINODONTO,RUA CORONEL ALEXANDRINO - ATÉ 359/360,,,BOSQUE,RIO BRANCO,AC,"{""223208"": {""profissao"": ""Cirurgião"", ""especialidades"": [""dentista - clínico geral""]}, ""223256"": {""profissao"": ""Cirurgião"", ""especialidades"": [""dentista - protesista""]}, ""225250"": {""profissao"": ""Médico"", ""especialidades"": [""ginecologista e obstetra""]}}"
4584010000172,M E R SERVIÇOS MÉDICOS CIRÚRGICOS LTDA,VÍDEO LAPAROSCÓPICA LTDA,RUA,,,BOSQUE,RIO BRANCO,AC,
4598934000128,L. A. BATISTA ANALISES CLINICAS - EIRELI,LABORATORIO DE ANALISES CLINICAS - DR. LUIZ AUGUSTO BAT,AVENIDA GETÚLIO VARGAS - DE 1524 A 2090 ,,NR. 2047,BOSQUE,RIO BRANCO,AC,"{""225335"": {""profissao"": ""Médico"", ""especialidades"": [""patologista clínico / medicina laboratorial""]}}"
4665002000150,LUIZ AUGUSTO N O BATISTA - EIRELI,LABSUL - DIAGNOSTICOS CLINICO - LABORATORIAIS,AV,,,CENTRO,CRUZEIRO DO SUL,AC,
5280605204,DUCIGELDA CASAS SOUZA,DUCIGELDA CASAS SOUZA,R GOUDWASSER SANTOS,,NR 61 - GALERIA CASTRO,BOSQUE,RIO BRANCO,AC,"{""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225215"": {""profissao"": ""Médico"", ""especialidades"": [""cirurgião de cabeça e pescoço""]}}"
5881142000129,T. S. MOURA S/C LTDA,ANGIO-CLINIC SAO JUDAS TADEU,RUA SAO JANUARIO 33                     ,,Antiga Rua Farroupilha,BOSQUE              ,RIO BRANCO,AC,"{""225115"": {""profissao"": ""Médico"", ""especialidades"": [""angiologista""]}, ""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}, ""225220"": {""profissao"": ""Médico"", ""especialidades"": [""cirurgião do aparelho digestivo""]}}"
7510864000100,ALEX RODRIGUES CAVALCANTE - EIRELI,CLINICA ESPACO VITAL,RUA MILTON MATOS,,NR. 770,BOSQUE,RIO BRANCO,AC,"{""223710"": {""profissao"": ""Nutricionista"", ""especialidades"": []}, ""223810"": {""profissao"": ""Fonoaudiólogo"", ""especialidades"": [""geral""]}, ""223905"": {""profissao"": ""Terapeuta"", ""especialidades"": [""ocupacional""]}, ""225310"": {""profissao"": ""Médico"", ""especialidades"": [""endoscopia""]}}"
8145392000199,HOA - HOSPITAL OFTALMOLOGICO DO ACRE LTDA,H.O.A - HOSPITAL OFTALMOLOGICO DO ACRE,AVENIDA CEARÁ - DE 957 A 1857 - LADO ÍMP,,NR 1755,CENTRO,RIO BRANCO,AC,"{""225265"": {""profissao"": ""Médico"", ""especialidades"": [""oftalmologista""]}}"
8702695000165,LABATE ROCHA SOCIEDADE SIMPLES LTDA,TRAUMATO  ORTOPEDIA RIO BRANCO,RUA ALVORADA - ATÉ 399/400,,NR 152,BOSQUE,RIO BRANCO,AC,"{""225270"": {""profissao"": ""Médico"", ""especialidades"": [""ortopedista e traumatologista""]}}"
8765732000184,CLINICA CARDIOLOGICA ABIDO BUSSADE LTDA,CLINICA CARDIOLOGICA ABIDO BUSSADE,RUA ALVORADA - DE 401/402 AO FIM,,NR 651,BOSQUE,RIO BRANCO,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}}"
8886919000136,INCA - INSTITUTO DE CARDIOLOGIA DO ACRE LTDA,INCA - INSTITUTO DE CARDIOLOGIA DO ACRE,RUA,,GALERIA CASTRO SALA 61,BOSQUE,RIO BRANCO,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}, ""225125"": {""profissao"": ""Médico"", ""especialidades"": [""clínico""]}}"
9663726000189,CLINICA RENAL DE RIO BRANCO SERVIÇOS MEDICOS LTDA,CLINICA RENAL DE RIO BRANCO,BR 364 (RIO BRANCO-CRUZEIRO DO SUL),,Nº 3864,CONJUNTO TUCUMA,RIO BRANCO,AC,
9663726000340,INSTITUTO ARM SERVIÇOS MEDICOS LTDA,CLINICA RENAL DE RIO BRANCO,ROD,,,CONJUNTO TUCUMA,RIO BRANCO,AC,
10159559000112,CLINICA CARDIOLOGICA INFANTIL LTDA,CARDIOBABY,R SILVESTRE COELHO - DE 379/380 A 613/61,,NR 550,J AUGUSTO,RIO BRANCO,AC,"{""225120"": {""profissao"": ""Médico"", ""especialidades"": [""cardiologista""]}}"
10261650000144,M. C. ARARIPE - EIRELI,ACRE SAUDE,RUA CORONEL JOSÉ GALDINO,,NR 626,BOSQUE,RIO BRANCO,AC,"{""225133"": {""profissao"": ""Médico"", ""especialidades"": [""psiquiatra""]}, ""225165"": {""profissao"": ""Médico"", ""especialidades"": [""gastroenterologista""]}}"
